name,recipe_link,ingredients,category,prep-time,budget,review count,rating,difficulty,steps_count
Brownies,https://www.marmiton.org/recettes/recette_brownies_16951.aspx,"['sel', 'farine', 'sucre', 'beurre', 'chocolat pâtissier', 'sucre vanillé', 'oeufs']",gâteau,0,bon marché,1187,4.6,facile,5
Pâte sablée,https://www.marmiton.org/recettes/recette_pate-sablee_14540.aspx,"['sel', 'beurre', 'sucre semoule', 'farine', 'oeuf', 'citron']",tarte,0,bon marché,463,4.7,facile,4
Gâteau d'anniversaire,https://www.marmiton.org/recettes/recette_gateau-d-anniversaire_16870.aspx,"['huile', 'levure chimique', 'sucre', 'farine', 'oeufs', 'sucre vanillé', 'lait']",gâteau,0,moyen,477,4.8,facile,7
Pain d'épices,https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx,"['quatre-épices', 'gingembre', 'muscade', 'anis', 'levure chimique', 'sucre en poudre', 'farine', 'miel', 'sucre vanillé', 'cannelle', 'oeufs', 'lait']",Pain d'épices,0,moyen,1127,4.8,facile,9
Pavlova,https://www.marmiton.org/recettes/recette_pavlova_16007.aspx,"['banane', 'fraises', 'sucre glace', 'maïzena', 'vinaigre', 'sucre', ""blancs d'oeuf"", 'crème liquide', 'framboises', 'raisin', 'pêche', 'nectarine']",gâteau glacé,0,bon marché,93,4.6,très facile,4
Cheesecake inratable,https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx,"['muscade', 'beurre doux', 'biscuit', 'extrait de vanille', 'crème fraîche', 'farine', 'sucre semoule', 'fromage blanc', 'oeufs']",cheesecake,0,bon marché,1027,4.6,très facile,6
Tarte à la rhubarbe facile et rapide,https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-facile-et-rapide_37644.aspx,"['sucre', 'crème fraîche', 'pâte brisée', 'rhubarbe', 'oeufs', 'cannelle']",tarte,0,bon marché,262,4.6,très facile,4
Financiers,https://www.marmiton.org/recettes/recette_financiers_13690.aspx,"['sel', 'extrait de vanille', 'beurre', 'sucre', 'farine', 'amandes en poudre', ""blancs d'oeuf""]",gâteau,0,bon marché,475,4.6,très facile,7
Véritable moelleux au chocolat,https://www.marmiton.org/recettes/recette_veritable-moelleux-au-chocolat_12825.aspx,"['levure', 'chocolat noir', 'sucre semoule', 'beurre doux', 'farine', 'oeufs']",gâteau,0,bon marché,1907,4.5,très facile,11
Crème brûlée,https://www.marmiton.org/recettes/recette_creme-brulee_11491.aspx,"['sucre', ""jaunes d'oeuf"", 'crème liquide', 'lait']",crème,0,bon marché,145,3.0,moyenne,3
Crème de citron (Lemon curd),https://www.marmiton.org/recettes/recette_creme-de-citron-lemon-curd_11210.aspx,"['maïzena', 'sucre', 'citrons', 'oeufs']",sauce sucrée,0,bon marché,467,4.8,moyenne,12
Canelés bordelais,https://www.marmiton.org/recettes/recette_canneles-bordelais_11439.aspx,"['sel', 'beurre doux', 'sucre en poudre', 'farine', 'rhum', 'vanille', 'lait', 'oeufs', ""jaunes d'oeuf""]",gâteau,0,bon marché,1143,4.7,moyenne,11
Crème Chantilly,https://www.marmiton.org/recettes/recette_creme-chantilly_30531.aspx,"['sucre glace', 'crème liquide']",crème,0,bon marché,277,4.5,très facile,4
"Crème anglaise réussie, onctueuse à souhait",https://www.marmiton.org/recettes/recette_creme-anglaise-reussie-onctueuse-a-souhait_37391.aspx,"['maïzena', 'vanille', 'lait demi-écrémé', 'sucre', ""jaunes d'oeuf""]",crème,0,bon marché,505,4.8,facile,9
Gâteau au yaourt facile,https://www.marmiton.org/recettes/recette_gateau-au-yaourt-facile_73370.aspx,"['beurre', 'yaourt', 'yaourt', 'yaourt', 'levure', 'oeufs', 'yaourt nature', 'sucre vanillé']",gâteau,0,bon marché,280,4.4,très facile,6
Gâteau marbré (recette de grand-mère),https://www.marmiton.org/recettes/recette_gateau-marbre-recette-de-grand-mere_57729.aspx,"['levure', 'farine', 'sucre', 'beurre', 'oeufs', 'lait', 'sucre vanillé', 'chocolat en poudre']",gâteau,0,bon marché,387,4.6,très facile,6
